Año;Trimestre;Provincia;Mbps (Media de bajada);Trimestre proximo
2019;3;Entre Ríos;14.69513286650061;17.007580897657125
2019;3;Formosa;13.22353748406198;14.525629551519327
2019;3;Jujuy;11.968240929924347;12.959200042804211
2019;3;La Pampa;5.719666464891041;6.526152195693043
2019;3;La Rioja;8.002375296912113;8.000880364029628
2019;3;Mendoza;6.10822854552147;7.785200889987086
2019;3;Misiones;17.931522461372833;20.32034743574273
2019;3;Neuquén;23.74841515996666;26.01988431478295
2019;3;Río Negro;15.983718503999242;17.17699897385603
2019;3;Salta;14.746465244455523;19.08357302283381
2019;3;San Juan;6.038229508650902;6.040171698468491
2019;3;San Luis;19.743826982349614;20.690353422143115
2019;3;Santa Cruz;5.017746940956451;5.207925064069708
2019;3;Santa Fe;18.165529686687883;20.54719701980728
2019;3;Santiago Del Estero;9.389413131426359;9.792201844355846
2019;3;Tierra Del Fuego;6.690701380143412;7.27
2019;3;Tucumán;19.323994794580525;29.87038932431276
2019;2;Buenos Aires;22.480046018557395;25.679380143834067
2019;2;Capital Federal;30.346259857091994;38.71410056071139
2019;2;Catamarca;8.81;9.293407429459826
2019;2;Chaco;16.01024333099657;19.994668122685404
2019;2;Chubut;6.054406893543786;6.966323588474291
2019;2;Córdoba;18.43151783191278;23.193402364939846
2019;2;Corrientes;13.833035083816176;16.69992255090861
2019;2;Entre Ríos;12.193357817950574;14.69513286650061
2019;2;Formosa;10.836611219480826;13.22353748406198
2019;2;Jujuy;12.073382280507326;11.968240929924347
2019;2;La Pampa;5.492288321417966;5.719666464891041
2019;2;La Rioja;7.894163486005089;8.002375296912113
2019;2;Mendoza;6.02629690452623;6.10822854552147
2019;2;Misiones;14.50130254739236;17.931522461372833
2019;2;Neuquén;17.242865250195976;23.74841515996666
2019;2;Río Negro;11.628050204319907;15.983718503999242
2019;2;Salta;12.548748750601563;14.746465244455523
2019;2;San Juan;6.118522013069041;6.038229508650902
2019;2;San Luis;19.875972848399364;19.743826982349614
2019;2;Santa Cruz;6.008047317560813;5.017746940956451
2019;2;Santa Fe;15.074549058890282;18.165529686687883
2019;2;Santiago Del Estero;7.103112882966522;9.389413131426359
2019;2;Tierra Del Fuego;6.34;6.690701380143412
2019;2;Tucumán;18.529317885920335;19.323994794580525
2019;1;Buenos Aires;19.643958224230506;22.480046018557395
